text,label
"Subject: Yоu Have Received a New Dоcument
Hello,

A new dоcument has been shared with yоu. Please review it as sоon as possible.

View dоcument:
[http://dоcs-share.example](http://dоcs-share.example)

Dоcument Service",1
"Subject: Yоu Have Received a New Dоcument
Hello,

A new dоcument has been shared with yоu. Please review it as sоon as possible.

View dоcument:
[http://dоcs-share.example](http://dоcs-share.example)

Dоcument Service",1
"Subject: Team Meeting Scheduled for Friday
Hi Team,

This is a reminder that we have a team meeting scheduled for Friday at 10:00 AM in Conference Room B.

Please review the agenda beforehand.

Best regards,
Ananya
Project Coordinator
",0
"Subject: Submission Deadline for Circuit Theory Assignment
Hello Students,

This is a reminder that the Circuit Theory assignment is due on Monday, 8 January, by 11:59 PM on the LMS portal.

Let me know if you have any questions.

Regards,
Dr. Sharma
Department of EEE
",0
"Subject: Submission Deadline for Circuit Theory Assignment
Hello Students,

This is a reminder that the Circuit Theory assignment is due on Monday, 8 January, by 11:59 PM on the LMS portal.

Let me know if you have any questions.

Regards,
Dr. Sharma
Department of EEE
",0
"Subject: Submission Deadline for Circuit Theory Assignment
Hello Students,

This is a reminder that the Circuit Theory assignment is due on Monday, 8 January, by 11:59 PM on the LMS portal.

Let me know if you have any questions.

Regards,
Dr. Sharma
Department of EEE
",0
"Subject: Submission Deadline for Circuit Theory Assignment
Hello Students,

This is a reminder that the Circuit Theory assignment is due on Monday, 8 January, by 11:59 PM on the LMS portal.

Let me know if you have any questions.

Regards,
Dr. Sharma
Department of EEE
",0
"Subject: Micrоsоft Security Alert
Dear User,

We detected unusual sign-in activity on your Micrоsоft accоunt.

Please verify your identity to prevent suspension.

Secure your accоunt:
[https://rnicrosoft-secure.example/login](https://rnicrosoft-secure.example/login)

Micrоsоft Security Team
",1
"Subject: Yоur Mailbох Is Almоst Full
Hello,

Your mailbох stоrage has reached 98% capacity.

Upgrade immediately to avoid losing impоrtant messages.

Upgrade stоrage:
[https://mail-upgrаde.example](https://mail-upgrаde.example)

Mail Administratiоn
",1
"Subject: Αpple ID Locked
Dear Customer,

Your Αpple ID has been temporarily locked due to suspicious activity.

Confirm your identity to restore access.

Verify now:
[https://аpple-id-verify.example](https://аpple-id-verify.example)

Apple Support
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Sеcurity Verification Required
Hello,

We cоuld not verify your recent sign-in. Please cоnfirm your identity to restore full access.

Verify here:
[http://verify-secure.example](http://verify-secure.example)

Sеcurity Team
",1
"Subject: Notification: Required Update to your Employee Payroll Portal
Hello,

Our records indicate that your annual tax withholding information (Form W-2/1095-C) requires a mandatory update for the upcoming fiscal quarter. To ensure there are no delays in your payroll processing or direct deposit disbursements, please log in to the Employee Self-Service portal before the Friday deadline.

You can securely update your information at:
https://internal-payroll.hr-benefits-portal.com/auth/login

Thank you for your cooperation.

Corporate Payroll Department
Human Resources Operations",1
